Path,Line Coverage,Function Coverage,Region Coverage
proc/self/cwd/external/com_google_absl/absl/base/casts.h,0.00% (0/6),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/base/internal/atomic_hook.h,0.00% (0/24),0.00% (0/6),0.00% (0/10)
proc/self/cwd/external/com_google_absl/absl/base/internal/endian.h,11.57% (14/121),8.96% (6/67),11.59% (8/69)
proc/self/cwd/external/com_google_absl/absl/base/internal/raw_logging.cc,0.00% (0/78),0.00% (0/10),0.00% (0/34)
proc/self/cwd/external/com_google_absl/absl/base/internal/raw_logging.h,0.00% (0/5),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/base/internal/throw_delegate.cc,0.00% (0/83),0.00% (0/21),0.00% (0/21)
proc/self/cwd/external/com_google_absl/absl/base/internal/unaligned_access.h,55.56% (10/18),33.33% (2/6),33.33% (2/6)
proc/self/cwd/external/com_google_absl/absl/base/log_severity.h,0.00% (0/21),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/base/macros.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/meta/type_traits.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/numeric/bits.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
proc/self/cwd/external/com_google_absl/absl/numeric/int128.cc,0.00% (0/171),0.00% (0/13),0.00% (0/88)
proc/self/cwd/external/com_google_absl/absl/numeric/int128.h,0.00% (0/316),0.00% (0/110),0.00% (0/122)
proc/self/cwd/external/com_google_absl/absl/numeric/int128_have_intrinsic.inc,0.00% (0/144),0.00% (0/50),0.00% (0/52)
proc/self/cwd/external/com_google_absl/absl/numeric/internal/bits.h,0.00% (0/149),0.00% (0/10),0.00% (0/16)
proc/self/cwd/external/com_google_absl/absl/strings/ascii.cc,0.00% (0/32),0.00% (0/3),0.00% (0/16)
proc/self/cwd/external/com_google_absl/absl/strings/ascii.h,10.61% (7/66),13.04% (3/23),18.52% (5/27)
proc/self/cwd/external/com_google_absl/absl/strings/charconv.cc,0.00% (0/309),0.00% (0/22),0.00% (0/165)
proc/self/cwd/external/com_google_absl/absl/strings/charconv.h,0.00% (0/27),0.00% (0/7),0.00% (0/7)
proc/self/cwd/external/com_google_absl/absl/strings/escaping.cc,63.25% (339/536),88.00% (22/25),52.70% (215/408)
proc/self/cwd/external/com_google_absl/absl/strings/escaping.h,100.00% (3/3),100.00% (1/1),100.00% (1/1)
proc/self/cwd/external/com_google_absl/absl/strings/internal/char_map.h,0.00% (0/78),0.00% (0/29),0.00% (0/29)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_bigint.cc,0.00% (0/134),0.00% (0/7),0.00% (0/80)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_bigint.h,0.00% (0/166),0.00% (0/18),0.00% (0/112)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_parse.cc,0.00% (0/231),0.00% (0/18),0.00% (0/179)
proc/self/cwd/external/com_google_absl/absl/strings/internal/escaping.cc,94.90% (93/98),100.00% (2/2),76.00% (38/50)
proc/self/cwd/external/com_google_absl/absl/strings/internal/escaping.h,100.00% (9/9),100.00% (1/1),100.00% (1/1)
proc/self/cwd/external/com_google_absl/absl/strings/internal/memutil.cc,0.00% (0/70),0.00% (0/7),0.00% (0/58)
proc/self/cwd/external/com_google_absl/absl/strings/internal/memutil.h,0.00% (0/42),0.00% (0/6),0.00% (0/6)
proc/self/cwd/external/com_google_absl/absl/strings/internal/ostringstream.h,0.00% (0/4),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/strings/internal/resize_uninitialized.h,37.50% (6/16),50.00% (2/4),33.33% (2/6)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_join_internal.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/strings/internal/utf8.cc,0.00% (0/27),0.00% (0/1),0.00% (0/10)
proc/self/cwd/external/com_google_absl/absl/strings/match.cc,0.00% (0/13),0.00% (0/3),0.00% (0/9)
proc/self/cwd/external/com_google_absl/absl/strings/match.h,0.00% (0/17),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/strings/numbers.cc,0.00% (0/566),0.00% (0/22),0.00% (0/355)
proc/self/cwd/external/com_google_absl/absl/strings/numbers.h,0.00% (0/39),0.00% (0/5),0.00% (0/8)
proc/self/cwd/external/com_google_absl/absl/strings/str_cat.cc,0.00% (0/165),0.00% (0/12),0.00% (0/48)
proc/self/cwd/external/com_google_absl/absl/strings/str_cat.h,0.00% (0/25),0.00% (0/18),0.00% (0/18)
proc/self/cwd/external/com_google_absl/absl/strings/str_join.h,0.00% (0/17),0.00% (0/5),0.00% (0/5)
proc/self/cwd/external/com_google_absl/absl/strings/string_view.h,5.11% (9/176),11.86% (7/59),14.94% (13/87)
proc/self/cwd/string_escape_fuzzer.cc,80.00% (28/35),100.00% (1/1),68.18% (15/22)
Totals,12.80% (518/4048),7.69% (47/611),13.99% (300/2144)
