Path,Line Coverage,Function Coverage,Region Coverage
proc/self/cwd/external/com_google_absl/absl/base/casts.h,100.00% (6/6),100.00% (1/1),100.00% (1/1)
proc/self/cwd/external/com_google_absl/absl/base/internal/atomic_hook.h,0.00% (0/24),0.00% (0/6),0.00% (0/10)
proc/self/cwd/external/com_google_absl/absl/base/internal/invoke.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
proc/self/cwd/external/com_google_absl/absl/base/internal/raw_logging.cc,0.00% (0/78),0.00% (0/10),0.00% (0/34)
proc/self/cwd/external/com_google_absl/absl/base/internal/raw_logging.h,0.00% (0/5),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/base/internal/throw_delegate.cc,0.00% (0/83),0.00% (0/21),0.00% (0/21)
proc/self/cwd/external/com_google_absl/absl/base/log_severity.h,0.00% (0/21),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/base/macros.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/functional/function_ref.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
proc/self/cwd/external/com_google_absl/absl/functional/internal/function_ref.h,0.00% (0/14),0.00% (0/3),0.00% (0/3)
proc/self/cwd/external/com_google_absl/absl/memory/memory.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/meta/type_traits.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/numeric/bits.h,100.00% (6/6),100.00% (2/2),100.00% (2/2)
proc/self/cwd/external/com_google_absl/absl/numeric/int128.cc,0.00% (0/171),0.00% (0/13),0.00% (0/88)
proc/self/cwd/external/com_google_absl/absl/numeric/int128.h,22.15% (70/316),20.00% (22/110),22.22% (28/126)
proc/self/cwd/external/com_google_absl/absl/numeric/int128_have_intrinsic.inc,0.00% (0/144),0.00% (0/50),0.00% (0/52)
proc/self/cwd/external/com_google_absl/absl/numeric/internal/bits.h,10.07% (15/149),20.00% (2/10),31.25% (5/16)
proc/self/cwd/external/com_google_absl/absl/numeric/internal/representation.h,0.00% (0/22),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/strings/ascii.cc,0.00% (0/32),0.00% (0/3),0.00% (0/16)
proc/self/cwd/external/com_google_absl/absl/strings/ascii.h,25.76% (17/66),21.74% (5/23),20.00% (5/25)
proc/self/cwd/external/com_google_absl/absl/strings/charconv.cc,57.93% (179/309),86.36% (19/22),63.03% (104/165)
proc/self/cwd/external/com_google_absl/absl/strings/charconv.h,14.81% (4/27),14.29% (1/7),14.29% (1/7)
proc/self/cwd/external/com_google_absl/absl/strings/escaping.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_bigint.cc,8.96% (12/134),14.29% (1/7),8.75% (7/80)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_bigint.h,40.96% (68/166),50.00% (9/18),46.43% (52/112)
proc/self/cwd/external/com_google_absl/absl/strings/internal/charconv_parse.cc,55.84% (129/231),61.11% (11/18),51.96% (93/179)
proc/self/cwd/external/com_google_absl/absl/strings/internal/memutil.cc,15.71% (11/70),14.29% (1/7),12.07% (7/58)
proc/self/cwd/external/com_google_absl/absl/strings/internal/memutil.h,0.00% (0/42),0.00% (0/6),0.00% (0/6)
proc/self/cwd/external/com_google_absl/absl/strings/internal/ostringstream.h,0.00% (0/4),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/strings/internal/resize_uninitialized.h,37.50% (6/16),50.00% (2/4),33.33% (2/6)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/arg.cc,11.72% (32/273),18.42% (7/38),9.27% (14/151)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/arg.h,58.44% (45/77),60.00% (9/15),51.52% (17/33)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/bind.cc,32.65% (48/147),52.38% (11/21),26.74% (23/86)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/bind.h,38.71% (12/31),63.64% (7/11),38.89% (7/18)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/checker.h,0.00% (0/152),0.00% (0/39),0.00% (0/39)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/extension.cc,42.86% (9/21),50.00% (1/2),30.00% (6/20)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/extension.h,50.77% (99/195),65.22% (30/46),42.49% (133/313)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/float_conversion.cc,26.80% (249/929),30.56% (22/72),28.95% (152/525)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/output.cc,0.00% (0/30),0.00% (0/4),0.00% (0/21)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/output.h,30.00% (6/20),20.00% (2/10),20.00% (2/10)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/parser.cc,0.00% (0/223),0.00% (0/12),0.00% (0/294)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_format/parser.h,26.83% (33/123),28.00% (7/25),36.71% (29/79)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_join_internal.h,91.67% (33/36),75.00% (3/4),91.67% (11/12)
proc/self/cwd/external/com_google_absl/absl/strings/internal/str_split_internal.h,88.57% (62/70),83.33% (15/18),86.84% (33/38)
proc/self/cwd/external/com_google_absl/absl/strings/match.cc,38.46% (5/13),33.33% (1/3),33.33% (3/9)
proc/self/cwd/external/com_google_absl/absl/strings/match.h,0.00% (0/17),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/strings/numbers.cc,46.29% (262/566),54.55% (12/22),51.83% (184/355)
proc/self/cwd/external/com_google_absl/absl/strings/numbers.h,32.35% (22/68),42.86% (3/7),25.00% (7/28)
proc/self/cwd/external/com_google_absl/absl/strings/str_cat.cc,12.73% (21/165),16.67% (2/12),14.58% (7/48)
proc/self/cwd/external/com_google_absl/absl/strings/str_cat.h,38.71% (12/31),40.00% (8/20),40.00% (8/20)
proc/self/cwd/external/com_google_absl/absl/strings/str_format.h,16.67% (6/36),9.52% (2/21),9.52% (2/21)
proc/self/cwd/external/com_google_absl/absl/strings/str_join.h,15.00% (3/20),16.67% (1/6),16.67% (1/6)
proc/self/cwd/external/com_google_absl/absl/strings/str_split.cc,15.38% (8/52),16.67% (2/12),16.67% (7/42)
proc/self/cwd/external/com_google_absl/absl/strings/str_split.h,57.14% (8/14),40.00% (2/5),40.00% (2/5)
proc/self/cwd/external/com_google_absl/absl/strings/string_view.cc,4.29% (6/140),6.67% (1/15),4.73% (7/148)
proc/self/cwd/external/com_google_absl/absl/strings/string_view.h,19.89% (35/176),28.81% (17/59),41.11% (37/90)
proc/self/cwd/external/com_google_absl/absl/strings/strip.h,0.00% (0/18),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/types/internal/span.h,0.00% (0/10),0.00% (0/4),0.00% (0/4)
proc/self/cwd/external/com_google_absl/absl/types/optional.h,0.00% (0/1),0.00% (0/1),0.00% (0/1)
proc/self/cwd/external/com_google_absl/absl/types/span.h,38.89% (7/18),41.67% (5/12),57.89% (11/19)
proc/self/cwd/string_utilities_fuzzer.cc,84.62% (22/26),100.00% (1/1),69.23% (9/13)
Totals,26.79% (1568/5854),27.94% (247/884),29.27% (1019/3481)
