Path,Line Coverage,Function Coverage,Region Coverage
src/assimp/code/AssetLib/3DS/3DSConverter.cpp,0.00% (0/457),0.00% (0/10),0.00% (0/281)
src/assimp/code/AssetLib/3DS/3DSHelper.h,0.00% (0/83),0.00% (0/18),0.00% (0/21)
src/assimp/code/AssetLib/3DS/3DSLoader.cpp,3.09% (25/808),22.22% (6/27),2.97% (17/572)
src/assimp/code/AssetLib/3MF/D3MFImporter.cpp,3.05% (12/393),9.09% (3/33),6.09% (12/197)
src/assimp/code/AssetLib/3MF/D3MFOpcPackage.cpp,0.00% (0/105),0.00% (0/11),0.00% (0/77)
src/assimp/code/AssetLib/AC/ACLoader.cpp,1.89% (11/583),23.08% (3/13),3.56% (12/337)
src/assimp/code/AssetLib/AC/ACLoader.h,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/assimp/code/AssetLib/AMF/AMFImporter.cpp,6.62% (20/302),14.81% (4/27),4.83% (10/207)
src/assimp/code/AssetLib/AMF/AMFImporter_Geometry.cpp,0.00% (0/152),0.00% (0/6),0.00% (0/87)
src/assimp/code/AssetLib/AMF/AMFImporter_Material.cpp,0.00% (0/183),0.00% (0/4),0.00% (0/135)
src/assimp/code/AssetLib/AMF/AMFImporter_Node.hpp,0.00% (0/24),0.00% (0/18),0.00% (0/18)
src/assimp/code/AssetLib/AMF/AMFImporter_Postprocess.cpp,0.00% (0/657),0.00% (0/15),0.00% (0/359)
src/assimp/code/AssetLib/ASE/ASELoader.cpp,1.46% (11/753),15.00% (3/20),2.61% (12/460)
src/assimp/code/AssetLib/ASE/ASEParser.cpp,0.00% (0/1325),0.00% (0/40),0.00% (0/1382)
src/assimp/code/AssetLib/ASE/ASEParser.h,0.00% (0/62),0.00% (0/16),0.00% (0/22)
src/assimp/code/AssetLib/Assbin/AssbinLoader.cpp,1.63% (8/492),3.85% (1/26),1.14% (3/263)
src/assimp/code/AssetLib/B3D/B3DImporter.cpp,1.88% (9/479),6.90% (2/29),2.26% (6/266)
src/assimp/code/AssetLib/B3D/B3DImporter.h,100.00% (1/1),100.00% (1/1),100.00% (1/1)
src/assimp/code/AssetLib/BVH/BVHLoader.cpp,2.98% (9/302),17.65% (3/17),5.68% (10/176)
src/assimp/code/AssetLib/BVH/BVHLoader.h,0.00% (0/2),0.00% (0/2),0.00% (0/2)
