Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/blosc/bitshuffle-avx2.c,42.55% (60/141),100.00% (5/5),38.30% (36/94)
src/c-blosc2/blosc/bitshuffle-generic.c,50.36% (69/137),40.00% (4/10),39.50% (47/119)
src/c-blosc2/blosc/bitshuffle-sse2.c,33.97% (107/315),40.00% (4/10),15.71% (22/140)
src/c-blosc2/blosc/blosc-private.h,21.50% (23/107),60.00% (3/5),33.33% (10/30)
src/c-blosc2/blosc/blosc2-stdio.c,0.00% (0/45),0.00% (0/7),0.00% (0/10)
src/c-blosc2/blosc/blosc2.c,33.04% (927/2806),50.51% (50/99),25.04% (622/2484)
src/c-blosc2/blosc/blosclz.c,75.49% (271/359),77.78% (7/9),76.47% (221/289)
src/c-blosc2/blosc/delta.c,0.00% (0/134),0.00% (0/2),0.00% (0/88)
src/c-blosc2/blosc/fastcopy.c,9.47% (25/264),13.33% (2/15),14.68% (16/109)
src/c-blosc2/blosc/frame.c,0.00% (0/2734),0.00% (0/31),0.00% (0/2774)
src/c-blosc2/blosc/schunk.c,0.00% (0/1084),0.00% (0/35),0.00% (0/1097)
src/c-blosc2/blosc/sframe.c,0.00% (0/83),0.00% (0/5),0.00% (0/94)
src/c-blosc2/blosc/shuffle-avx2.c,0.00% (0/471),0.00% (0/12),0.00% (0/244)
src/c-blosc2/blosc/shuffle-generic.c,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/c-blosc2/blosc/shuffle-generic.h,0.00% (0/36),0.00% (0/2),0.00% (0/14)
src/c-blosc2/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc2/blosc/shuffle.c,67.53% (104/154),77.78% (7/9),67.69% (44/65)
src/c-blosc2/blosc/stune.c,20.87% (24/115),16.67% (1/6),25.76% (17/66)
src/c-blosc2/blosc/stune.h,52.38% (11/21),100.00% (1/1),70.00% (14/20)
src/c-blosc2/blosc/timestamp.c,36.36% (4/11),33.33% (1/3),33.33% (1/3)
src/c-blosc2/blosc/trunc-prec.c,0.00% (0/44),0.00% (0/3),0.00% (0/24)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4.c,44.97% (590/1312),37.80% (31/82),48.44% (619/1278)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4hc.c,44.83% (473/1055),36.21% (21/58),44.88% (408/909)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32.c,36.62% (26/71),16.67% (1/6),37.65% (32/85)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32_p.h,0.00% (0/29),0.00% (0/3),0.00% (0/18)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset.c,100.00% (21/21),100.00% (5/5),100.00% (5/5)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset_tpl.h,90.70% (117/129),100.00% (6/6),92.31% (60/65)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compare258.c,100.00% (42/42),100.00% (3/3),100.00% (36/36)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compress.c,79.49% (31/39),33.33% (1/3),74.19% (23/31)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/crc32.c,0.00% (0/50),0.00% (0/7),0.00% (0/38)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.c,29.74% (281/945),45.83% (11/24),30.19% (339/1123)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.h,61.82% (34/55),100.00% (5/5),100.00% (25/25)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_fast.c,86.79% (46/53),100.00% (1/1),74.03% (57/77)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_medium.c,85.95% (159/185),100.00% (4/4),80.95% (153/189)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_p.h,84.00% (21/25),100.00% (2/2),100.00% (9/9)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_quick.c,73.68% (42/57),100.00% (1/1),59.18% (58/98)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_slow.c,85.14% (63/74),100.00% (1/1),73.40% (69/94)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/functable.c,63.38% (45/71),71.43% (10/14),65.00% (13/20)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/inffast.c,65.50% (112/171),100.00% (2/2),55.24% (58/105)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/inflate.c,41.87% (404/965),39.13% (9/23),42.19% (521/1235)
