Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/blosc/bitshuffle-avx2.c,42.55% (60/141),100.00% (5/5),38.30% (36/94)
src/c-blosc2/blosc/bitshuffle-generic.c,50.36% (69/137),40.00% (4/10),39.50% (47/119)
src/c-blosc2/blosc/bitshuffle-sse2.c,33.97% (107/315),40.00% (4/10),15.71% (22/140)
src/c-blosc2/blosc/blosc-private.h,21.50% (23/107),60.00% (3/5),33.33% (10/30)
src/c-blosc2/blosc/blosc2-stdio.c,0.00% (0/45),0.00% (0/7),0.00% (0/10)
src/c-blosc2/blosc/blosc2.c,32.06% (859/2679),45.36% (44/97),24.89% (589/2366)
src/c-blosc2/blosc/blosclz.c,88.77% (340/383),100.00% (8/8),81.31% (274/337)
src/c-blosc2/blosc/delta.c,0.00% (0/134),0.00% (0/2),0.00% (0/88)
src/c-blosc2/blosc/fastcopy.c,59.47% (157/264),93.33% (14/15),55.96% (61/109)
src/c-blosc2/blosc/frame.c,0.77% (21/2734),3.23% (1/31),0.29% (8/2774)
src/c-blosc2/blosc/schunk.c,11.92% (129/1082),17.14% (6/35),8.02% (88/1097)
src/c-blosc2/blosc/sframe.c,0.00% (0/83),0.00% (0/5),0.00% (0/94)
src/c-blosc2/blosc/shuffle-avx2.c,5.52% (26/471),16.67% (2/12),4.92% (12/244)
src/c-blosc2/blosc/shuffle-generic.c,100.00% (6/6),100.00% (2/2),100.00% (2/2)
src/c-blosc2/blosc/shuffle-generic.h,66.67% (24/36),100.00% (2/2),100.00% (14/14)
src/c-blosc2/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc2/blosc/shuffle.c,72.73% (112/154),100.00% (9/9),70.77% (46/65)
src/c-blosc2/blosc/stune.c,44.44% (52/117),33.33% (2/6),50.00% (33/66)
src/c-blosc2/blosc/stune.h,57.14% (12/21),100.00% (1/1),50.00% (10/20)
src/c-blosc2/blosc/timestamp.c,36.36% (4/11),33.33% (1/3),33.33% (1/3)
src/c-blosc2/blosc/trunc-prec.c,0.00% (0/44),0.00% (0/3),0.00% (0/24)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4.c,0.00% (0/1312),0.00% (0/82),0.00% (0/1278)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4hc.c,0.00% (0/1055),0.00% (0/58),0.00% (0/909)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32.c,0.00% (0/71),0.00% (0/6),0.00% (0/85)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32_p.h,0.00% (0/29),0.00% (0/3),0.00% (0/18)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset.c,0.00% (0/21),0.00% (0/5),0.00% (0/5)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset_tpl.h,0.00% (0/129),0.00% (0/6),0.00% (0/65)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compare258.c,0.00% (0/42),0.00% (0/3),0.00% (0/36)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compress.c,0.00% (0/39),0.00% (0/3),0.00% (0/31)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/crc32.c,0.00% (0/50),0.00% (0/7),0.00% (0/38)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.c,0.00% (0/945),0.00% (0/24),0.00% (0/1123)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.h,0.00% (0/55),0.00% (0/5),0.00% (0/25)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_fast.c,0.00% (0/53),0.00% (0/1),0.00% (0/77)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_medium.c,0.00% (0/185),0.00% (0/4),0.00% (0/189)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_p.h,0.00% (0/25),0.00% (0/2),0.00% (0/9)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_quick.c,0.00% (0/57),0.00% (0/1),0.00% (0/98)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_slow.c,0.00% (0/74),0.00% (0/1),0.00% (0/94)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/functable.c,0.00% (0/71),0.00% (0/14),0.00% (0/20)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/inffast.c,0.00% (0/171),0.00% (0/2),0.00% (0/105)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/inflate.c,0.00% (0/965),0.00% (0/23),0.00% (0/1235)
