Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/blosc/bitshuffle-avx2.c,38.30% (54/141),60.00% (3/5),40.43% (38/94)
src/c-blosc2/blosc/bitshuffle-generic.c,20.44% (28/137),10.00% (1/10),15.13% (18/119)
src/c-blosc2/blosc/bitshuffle-sse2.c,34.60% (109/315),20.00% (2/10),20.71% (29/140)
src/c-blosc2/blosc/blosc-private.h,14.02% (15/107),40.00% (2/5),23.33% (7/30)
src/c-blosc2/blosc/blosc2-stdio.c,0.00% (0/45),0.00% (0/7),0.00% (0/10)
src/c-blosc2/blosc/blosc2.c,32.93% (872/2648),41.67% (40/96),29.59% (694/2345)
src/c-blosc2/blosc/blosclz.c,21.67% (83/383),25.00% (2/8),17.21% (58/337)
src/c-blosc2/blosc/delta.c,46.27% (62/134),50.00% (1/2),50.00% (44/88)
src/c-blosc2/blosc/fastcopy.c,58.71% (155/264),93.33% (14/15),57.80% (63/109)
src/c-blosc2/blosc/frame.c,0.00% (0/2734),0.00% (0/31),0.00% (0/2774)
src/c-blosc2/blosc/schunk.c,1.11% (12/1082),5.71% (2/35),1.73% (19/1097)
src/c-blosc2/blosc/sframe.c,0.00% (0/83),0.00% (0/5),0.00% (0/94)
src/c-blosc2/blosc/shuffle-avx2.c,23.57% (111/471),33.33% (4/12),23.77% (58/244)
src/c-blosc2/blosc/shuffle-generic.c,50.00% (3/6),50.00% (1/2),50.00% (1/2)
src/c-blosc2/blosc/shuffle-generic.h,33.33% (12/36),50.00% (1/2),50.00% (7/14)
src/c-blosc2/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc2/blosc/shuffle.c,70.78% (109/154),77.78% (7/9),73.85% (48/65)
src/c-blosc2/blosc/stune.c,0.00% (0/117),0.00% (0/6),0.00% (0/66)
src/c-blosc2/blosc/stune.h,0.00% (0/21),0.00% (0/1),0.00% (0/20)
src/c-blosc2/blosc/timestamp.c,0.00% (0/11),0.00% (0/3),0.00% (0/3)
src/c-blosc2/blosc/trunc-prec.c,0.00% (0/44),0.00% (0/3),0.00% (0/24)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4.c,22.79% (299/1312),13.41% (11/82),26.45% (338/1278)
src/c-blosc2/internal-complibs/lz4-1.9.3/lz4hc.c,0.00% (0/1055),0.00% (0/58),0.00% (0/909)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32.c,39.44% (28/71),16.67% (1/6),40.00% (34/85)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/adler32_p.h,58.62% (17/29),66.67% (2/3),61.11% (11/18)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset.c,100.00% (21/21),100.00% (5/5),100.00% (5/5)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/chunkset_tpl.h,90.70% (117/129),100.00% (6/6),92.31% (60/65)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compare258.c,0.00% (0/42),0.00% (0/3),0.00% (0/36)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/compress.c,0.00% (0/39),0.00% (0/3),0.00% (0/31)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/crc32.c,0.00% (0/50),0.00% (0/7),0.00% (0/38)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.c,0.00% (0/945),0.00% (0/24),0.00% (0/1123)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate.h,0.00% (0/55),0.00% (0/5),0.00% (0/25)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_fast.c,0.00% (0/53),0.00% (0/1),0.00% (0/77)
src/c-blosc2/internal-complibs/zlib-ng-2.0.5/deflate_medium.c,0.00% (0/185),0.00% (0/4),0.00% (0/189)
