Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc/blosc/bitshuffle-avx2.c,42.55% (60/141),100.00% (5/5),38.30% (36/94)
src/c-blosc/blosc/bitshuffle-generic.c,50.36% (69/137),40.00% (4/10),39.50% (47/119)
src/c-blosc/blosc/bitshuffle-sse2.c,33.97% (107/315),40.00% (4/10),15.71% (22/140)
src/c-blosc/blosc/blosc.c,41.82% (593/1418),56.36% (31/55),41.80% (413/988)
src/c-blosc/blosc/blosclz.c,71.84% (273/380),75.00% (6/8),67.37% (225/334)
src/c-blosc/blosc/fastcopy.c,0.00% (0/264),0.00% (0/15),0.00% (0/109)
src/c-blosc/blosc/shuffle-avx2.c,0.00% (0/471),0.00% (0/12),0.00% (0/244)
src/c-blosc/blosc/shuffle-generic.c,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/c-blosc/blosc/shuffle-generic.h,0.00% (0/36),0.00% (0/2),0.00% (0/14)
src/c-blosc/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc/blosc/shuffle.c,74.85% (125/167),80.00% (8/10),54.88% (45/82)
src/c-blosc/internal-complibs/lz4-1.9.3/lz4.c,44.97% (590/1312),37.80% (31/82),48.44% (619/1278)
src/c-blosc/internal-complibs/lz4-1.9.3/lz4hc.c,44.83% (473/1055),36.21% (21/58),44.44% (404/909)
src/c-blosc/internal-complibs/zlib-1.2.8/adler32.c,32.89% (25/76),25.00% (1/4),37.41% (52/139)
src/c-blosc/internal-complibs/zlib-1.2.8/compress.c,75.86% (22/29),33.33% (1/3),68.18% (15/22)
src/c-blosc/internal-complibs/zlib-1.2.8/crc32.c,0.00% (0/129),0.00% (0/9),0.00% (0/105)
src/c-blosc/internal-complibs/zlib-1.2.8/deflate.c,42.83% (442/1032),56.00% (14/25),40.29% (548/1360)
src/c-blosc/internal-complibs/zlib-1.2.8/inffast.c,53.05% (113/213),100.00% (1/1),39.68% (50/126)
src/c-blosc/internal-complibs/zlib-1.2.8/inflate.c,42.39% (390/920),42.11% (8/19),42.67% (509/1193)
src/c-blosc/internal-complibs/zlib-1.2.8/inftrees.c,78.66% (129/164),100.00% (1/1),73.39% (80/109)
src/c-blosc/internal-complibs/zlib-1.2.8/trees.c,92.01% (380/413),90.91% (20/22),87.79% (525/598)
src/c-blosc/internal-complibs/zlib-1.2.8/uncompr.c,79.17% (19/24),100.00% (1/1),43.75% (14/32)
src/c-blosc/internal-complibs/zlib-1.2.8/zutil.c,17.39% (8/46),40.00% (2/5),14.71% (5/34)
src/c-blosc/internal-complibs/zstd-1.4.8/common/bitstream.h,25.73% (53/206),36.84% (7/19),28.57% (28/98)
src/c-blosc/internal-complibs/zstd-1.4.8/common/cpu.h,38.75% (31/80),100.00% (2/2),100.00% (6/6)
src/c-blosc/internal-complibs/zstd-1.4.8/common/entropy_common.c,0.00% (0/203),0.00% (0/16),0.00% (0/187)
src/c-blosc/internal-complibs/zstd-1.4.8/common/error_private.c,0.00% (0/36),0.00% (0/1),0.00% (0/58)
src/c-blosc/internal-complibs/zstd-1.4.8/common/error_private.h,20.00% (1/5),33.33% (1/3),44.44% (4/9)
src/c-blosc/internal-complibs/zstd-1.4.8/common/fse.h,33.72% (29/86),33.33% (4/12),33.33% (6/18)
src/c-blosc/internal-complibs/zstd-1.4.8/common/fse_decompress.c,0.00% (0/219),0.00% (0/15),0.00% (0/209)
src/c-blosc/internal-complibs/zstd-1.4.8/common/mem.h,28.77% (42/146),56.67% (17/30),53.70% (29/54)
src/c-blosc/internal-complibs/zstd-1.4.8/common/xxhash.c,2.33% (10/429),2.44% (1/41),1.26% (3/239)
src/c-blosc/internal-complibs/zstd-1.4.8/common/zstd_common.c,44.44% (12/27),33.33% (3/9),33.33% (10/30)
src/c-blosc/internal-complibs/zstd-1.4.8/common/zstd_internal.h,30.10% (31/103),42.86% (3/7),41.46% (17/41)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/fse_compress.c,77.59% (329/424),60.00% (12/20),57.08% (242/424)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/hist.c,85.71% (84/98),57.14% (4/7),65.85% (54/82)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/huf_compress.c,76.20% (365/479),54.84% (17/31),68.58% (323/471)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_compress.c,25.43% (866/3406),25.27% (46/182),14.81% (676/4563)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_compress_internal.h,42.09% (205/487),64.29% (27/42),49.82% (136/273)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_compress_literals.c,61.06% (69/113),66.67% (2/3),63.33% (57/90)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_compress_sequences.c,72.99% (200/274),75.00% (9/12),58.69% (179/305)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_compress_superblock.c,0.00% (0/556),0.00% (0/14),0.00% (0/483)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_cwksp.h,57.14% (176/308),88.89% (24/27),76.38% (97/127)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_double_fast.c,36.93% (147/398),33.33% (2/6),31.77% (88/277)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_fast.c,29.23% (107/366),28.57% (2/7),25.00% (52/208)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_lazy.c,43.03% (426/990),36.36% (12/33),36.95% (252/682)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_ldm.c,2.63% (11/419),9.09% (2/22),2.49% (6/241)
src/c-blosc/internal-complibs/zstd-1.4.8/compress/zstd_opt.c,76.74% (673/877),78.79% (26/33),74.32% (492/662)
src/c-blosc/internal-complibs/zstd-1.4.8/decompress/huf_decompress.c,0.00% (0/711),0.00% (0/52),0.00% (0/673)
src/c-blosc/internal-complibs/zstd-1.4.8/decompress/zstd_ddict.c,0.00% (0/136),0.00% (0/13),0.00% (0/128)
src/c-blosc/internal-complibs/zstd-1.4.8/decompress/zstd_decompress.c,0.00% (0/1287),0.00% (0/82),0.00% (0/2078)
src/c-blosc/internal-complibs/zstd-1.4.8/decompress/zstd_decompress_block.c,0.00% (0/876),0.00% (0/32),0.00% (0/986)
src/c-blosc/tests/fuzz/fuzz_compress.c,92.11% (35/38),100.00% (1/1),93.55% (29/31)
Totals,33.67% (7720/22931),33.45% (383/1145),29.09% (6395/21984)
