Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc/blosc/bitshuffle-avx2.c,77.30% (109/141),60.00% (3/5),74.47% (70/94)
src/c-blosc/blosc/bitshuffle-generic.c,20.44% (28/137),10.00% (1/10),15.13% (18/119)
src/c-blosc/blosc/bitshuffle-sse2.c,34.60% (109/315),20.00% (2/10),20.71% (29/140)
src/c-blosc/blosc/blosc.c,22.90% (297/1297),28.30% (15/53),22.31% (199/892)
src/c-blosc/blosc/blosclz.c,22.37% (85/380),25.00% (2/8),17.66% (59/334)
src/c-blosc/blosc/fastcopy.c,64.77% (171/264),100.00% (15/15),61.47% (67/109)
src/c-blosc/blosc/shuffle-avx2.c,53.08% (250/471),50.00% (6/12),45.49% (111/244)
src/c-blosc/blosc/shuffle-generic.c,50.00% (3/6),50.00% (1/2),50.00% (1/2)
src/c-blosc/blosc/shuffle-generic.h,33.33% (12/36),50.00% (1/2),50.00% (7/14)
src/c-blosc/blosc/shuffle-sse2.c,0.00% (0/400),0.00% (0/12),0.00% (0/220)
src/c-blosc/blosc/shuffle.c,67.66% (113/167),80.00% (8/10),50.00% (41/82)
src/c-blosc/internal-complibs/lz4-1.9.3/lz4.c,22.79% (299/1312),13.41% (11/82),26.53% (339/1278)
src/c-blosc/internal-complibs/lz4-1.9.3/lz4hc.c,0.00% (0/1055),0.00% (0/58),0.00% (0/909)
src/c-blosc/internal-complibs/zlib-1.2.8/adler32.c,51.32% (39/76),25.00% (1/4),46.04% (64/139)
src/c-blosc/internal-complibs/zlib-1.2.8/compress.c,0.00% (0/29),0.00% (0/3),0.00% (0/22)
src/c-blosc/internal-complibs/zlib-1.2.8/crc32.c,0.00% (0/129),0.00% (0/9),0.00% (0/105)
src/c-blosc/internal-complibs/zlib-1.2.8/deflate.c,0.00% (0/1032),0.00% (0/25),0.00% (0/1360)
src/c-blosc/internal-complibs/zlib-1.2.8/inffast.c,0.00% (0/213),0.00% (0/1),0.00% (0/126)
src/c-blosc/internal-complibs/zlib-1.2.8/inflate.c,56.63% (521/920),47.37% (9/19),52.81% (630/1193)
src/c-blosc/internal-complibs/zlib-1.2.8/inftrees.c,72.56% (119/164),100.00% (1/1),70.64% (77/109)
src/c-blosc/internal-complibs/zlib-1.2.8/trees.c,0.00% (0/413),0.00% (0/22),0.00% (0/598)
src/c-blosc/internal-complibs/zlib-1.2.8/uncompr.c,100.00% (24/24),100.00% (1/1),84.38% (27/32)
src/c-blosc/internal-complibs/zlib-1.2.8/zutil.c,17.39% (8/46),40.00% (2/5),14.71% (5/34)
src/c-blosc/internal-complibs/zstd-1.4.8/common/bitstream.h,48.06% (99/206),57.89% (11/19),71.43% (70/98)
src/c-blosc/internal-complibs/zstd-1.4.8/common/cpu.h,38.75% (31/80),100.00% (2/2),100.00% (6/6)
src/c-blosc/internal-complibs/zstd-1.4.8/common/entropy_common.c,92.61% (188/203),62.50% (10/16),87.70% (164/187)
src/c-blosc/internal-complibs/zstd-1.4.8/common/error_private.c,0.00% (0/36),0.00% (0/1),0.00% (0/58)
src/c-blosc/internal-complibs/zstd-1.4.8/common/error_private.h,40.00% (2/5),66.67% (2/3),88.89% (8/9)
src/c-blosc/internal-complibs/zstd-1.4.8/common/fse.h,26.74% (23/86),25.00% (3/12),16.67% (3/18)
src/c-blosc/internal-complibs/zstd-1.4.8/common/fse_decompress.c,68.49% (150/219),33.33% (5/15),72.73% (152/209)
src/c-blosc/internal-complibs/zstd-1.4.8/common/mem.h,20.55% (30/146),40.00% (12/30),37.04% (20/54)
src/c-blosc/internal-complibs/zstd-1.4.8/common/xxhash.c,32.87% (141/429),34.15% (14/41),26.36% (63/239)
src/c-blosc/internal-complibs/zstd-1.4.8/common/zstd_common.c,48.15% (13/27),44.44% (4/9),36.67% (11/30)
