Path,Line Coverage,Function Coverage,Region Coverage
src/git/abspath.c,0.00% (0/156),0.00% (0/11),0.00% (0/134)
src/git/add-interactive.c,0.00% (0/763),0.00% (0/28),0.00% (0/563)
src/git/add-patch.c,0.00% (0/1066),0.00% (0/24),0.00% (0/839)
src/git/advice.c,0.00% (0/131),0.00% (0/12),0.00% (0/89)
src/git/alias.c,0.00% (0/68),0.00% (0/5),0.00% (0/82)
src/git/alloc.c,10.14% (7/69),16.67% (2/12),15.79% (6/38)
src/git/apply.c,0.00% (0/3241),0.00% (0/141),0.00% (0/2842)
src/git/archive-tar.c,0.00% (0/284),0.00% (0/18),0.00% (0/176)
src/git/archive-zip.c,0.00% (0/406),0.00% (0/20),0.00% (0/214)
src/git/archive.c,0.00% (0/461),0.00% (0/23),0.00% (0/317)
src/git/attr.c,0.00% (0/637),0.00% (0/48),0.00% (0/473)
src/git/base85.c,0.00% (0/64),0.00% (0/3),0.00% (0/64)
src/git/bisect.c,0.00% (0/671),0.00% (0/39),0.00% (0/435)
src/git/blame.c,0.00% (0/1552),0.00% (0/79),0.00% (0/948)
src/git/blame.h,0.00% (0/5),0.00% (0/1),0.00% (0/3)
src/git/blob.c,0.00% (0/10),0.00% (0/2),0.00% (0/5)
src/git/bloom.c,0.00% (0/205),0.00% (0/12),0.00% (0/124)
src/git/branch.c,0.00% (0/250),0.00% (0/13),0.00% (0/193)
src/git/builtin/add.c,0.00% (0/399),0.00% (0/14),0.00% (0/363)
src/git/builtin/am.c,0.00% (0/1417),0.00% (0/57),0.00% (0/938)
src/git/builtin/annotate.c,0.00% (0/9),0.00% (0/1),0.00% (0/5)
src/git/builtin/apply.c,0.00% (0/16),0.00% (0/1),0.00% (0/7)
src/git/builtin/archive.c,0.00% (0/34),0.00% (0/2),0.00% (0/23)
src/git/builtin/bisect--helper.c,0.00% (0/516),0.00% (0/27),0.00% (0/337)
src/git/builtin/blame.c,0.00% (0/746),0.00% (0/27),0.00% (0/552)
src/git/builtin/branch.c,0.00% (0/600),0.00% (0/14),0.00% (0/538)
src/git/builtin/bugreport.c,0.00% (0/137),0.00% (0/5),0.00% (0/51)
src/git/builtin/bundle.c,0.00% (0/120),0.00% (0/5),0.00% (0/71)
src/git/builtin/cat-file.c,0.00% (0/474),0.00% (0/20),0.00% (0/368)
