Path,Line Coverage,Function Coverage,Region Coverage
src/h2o/deps/picotls/include/picotls.h,0.00% (0/84),0.00% (0/15),0.00% (0/15)
src/h2o/deps/quicly/include/quicly.h,0.00% (0/97),0.00% (0/23),0.00% (0/23)
src/h2o/deps/quicly/include/quicly/cid.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/h2o/deps/quicly/include/quicly/frame.h,0.00% (0/446),0.00% (0/47),0.00% (0/47)
src/h2o/deps/quicly/include/quicly/linklist.h,0.00% (0/27),0.00% (0/5),0.00% (0/5)
src/h2o/deps/quicly/include/quicly/local_cid.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/h2o/deps/quicly/include/quicly/loss.h,0.00% (0/157),0.00% (0/9),0.00% (0/9)
src/h2o/deps/quicly/include/quicly/maxsender.h,0.00% (0/46),0.00% (0/8),0.00% (0/8)
src/h2o/deps/quicly/include/quicly/ranges.h,0.00% (0/13),0.00% (0/2),0.00% (0/2)
src/h2o/deps/quicly/include/quicly/recvstate.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/h2o/deps/quicly/include/quicly/sendstate.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/h2o/deps/quicly/include/quicly/sentmap.h,0.00% (0/52),0.00% (0/6),0.00% (0/6)
src/h2o/fuzz/driver_url.cc,100.00% (20/20),100.00% (1/1),100.00% (18/18)
src/h2o/include/h2o.h,0.00% (0/136),0.00% (0/19),0.00% (0/19)
src/h2o/include/h2o/absprio.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/header.h,0.00% (0/7),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/hostinfo.h,0.00% (0/17),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/http2_common.h,0.00% (0/44),0.00% (0/10),0.00% (0/10)
src/h2o/include/h2o/http3_common.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/httpclient.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/linklist.h,0.00% (0/31),0.00% (0/6),0.00% (0/6)
src/h2o/include/h2o/memory.h,3.97% (6/151),4.35% (1/23),1.75% (1/57)
src/h2o/include/h2o/multithread.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/openssl_backport.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/h2o/include/h2o/socket.h,0.00% (0/54),0.00% (0/11),0.00% (0/11)
src/h2o/include/h2o/socket/evloop.h,0.00% (0/18),0.00% (0/6),0.00% (0/6)
src/h2o/include/h2o/socketpool.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/h2o/include/h2o/string_.h,0.00% (0/25),0.00% (0/7),0.00% (0/14)
src/h2o/include/h2o/time_.h,0.00% (0/10),0.00% (0/2),0.00% (0/2)
src/h2o/include/h2o/timerwheel.h,0.00% (0/10),0.00% (0/3),0.00% (0/3)
src/h2o/include/h2o/url.h,0.00% (0/30),0.00% (0/5),0.00% (0/5)
src/h2o/lib/common/file.c,0.00% (0/40),0.00% (0/2),0.00% (0/30)
src/h2o/lib/common/memory.c,0.00% (0/299),0.00% (0/22),0.00% (0/142)
src/h2o/lib/common/string.c,4.41% (21/476),4.17% (1/24),4.58% (20/437)
src/h2o/lib/common/url.c,20.12% (66/328),26.67% (4/15),24.09% (66/274)
Totals,4.21% (113/2684),2.43% (7/288),9.01% (105/1166)
