Path,Line Coverage,Function Coverage,Region Coverage
src/haproxy/fuzz_cfg_parser.c,85.71% (12/14),100.00% (1/1),71.43% (5/7)
src/haproxy/include/haproxy/acl.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/action.h,0.00% (0/43),0.00% (0/3),0.00% (0/20)
src/haproxy/include/haproxy/activity.h,0.00% (0/67),0.00% (0/2),0.00% (0/10)
src/haproxy/include/haproxy/applet.h,0.00% (0/58),0.00% (0/5),0.00% (0/29)
src/haproxy/include/haproxy/backend.h,0.00% (0/61),0.00% (0/6),0.00% (0/47)
src/haproxy/include/haproxy/buf.h,13.34% (83/622),31.25% (20/64),18.75% (30/160)
src/haproxy/include/haproxy/channel.h,0.00% (0/511),0.00% (0/83),0.00% (0/254)
src/haproxy/include/haproxy/check.h,0.00% (0/7),0.00% (0/1),0.00% (0/6)
src/haproxy/include/haproxy/chunk.h,0.00% (0/164),0.00% (0/18),0.00% (0/67)
src/haproxy/include/haproxy/cli.h,0.00% (0/22),0.00% (0/4),0.00% (0/4)
src/haproxy/include/haproxy/connection.h,0.00% (0/773),0.00% (0/68),0.00% (0/500)
src/haproxy/include/haproxy/dynbuf.h,0.00% (0/41),0.00% (0/5),0.00% (0/25)
src/haproxy/include/haproxy/fcgi.h,0.00% (0/16),0.00% (0/1),0.00% (0/1)
src/haproxy/include/haproxy/fd.h,0.00% (0/262),0.00% (0/28),0.00% (0/152)
src/haproxy/include/haproxy/filters.h,0.00% (0/38),0.00% (0/4),0.00% (0/45)
src/haproxy/include/haproxy/fix.h,0.00% (0/41),0.00% (0/2),0.00% (0/227)
src/haproxy/include/haproxy/freq_ctr.h,0.00% (0/116),0.00% (0/14),0.00% (0/73)
src/haproxy/include/haproxy/global.h,0.00% (0/9),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/h1.h,0.00% (0/176),0.00% (0/5),0.00% (0/81)
src/haproxy/include/haproxy/h1_htx.h,0.00% (0/15),0.00% (0/1),0.00% (0/27)
src/haproxy/include/haproxy/hlua.h,0.00% (0/3),0.00% (0/3),0.00% (0/3)
src/haproxy/include/haproxy/http-hdr.h,0.00% (0/15),0.00% (0/2),0.00% (0/8)
src/haproxy/include/haproxy/http.h,0.00% (0/43),0.00% (0/4),0.00% (0/30)
src/haproxy/include/haproxy/http_ana.h,0.00% (0/15),0.00% (0/1),0.00% (0/12)
src/haproxy/include/haproxy/http_rules.h,0.00% (0/9),0.00% (0/3),0.00% (0/6)
src/haproxy/include/haproxy/htx.h,0.00% (0/460),0.00% (0/59),0.00% (0/270)
src/haproxy/include/haproxy/intops.h,0.00% (0/306),0.00% (0/25),0.00% (0/77)
src/haproxy/include/haproxy/istbuf.h,0.00% (0/73),0.00% (0/6),0.00% (0/15)
src/haproxy/include/haproxy/list.h,0.00% (0/19),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/listener.h,0.00% (0/49),0.00% (0/2),0.00% (0/52)
src/haproxy/include/haproxy/log.h,0.00% (0/18),0.00% (0/3),0.00% (0/14)
src/haproxy/include/haproxy/mqtt.h,0.00% (0/54),0.00% (0/2),0.00% (0/194)
src/haproxy/include/haproxy/namespace.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/haproxy/include/haproxy/net_helper.h,0.00% (0/173),0.00% (0/32),0.00% (0/32)
src/haproxy/include/haproxy/obj_type.h,2.56% (3/117),4.35% (1/23),3.57% (4/112)
src/haproxy/include/haproxy/pattern.h,0.00% (0/22),0.00% (0/5),0.00% (0/11)
src/haproxy/include/haproxy/peers.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/pool-os.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/pool.h,0.00% (0/120),0.00% (0/8),0.00% (0/85)
src/haproxy/include/haproxy/port_range.h,0.00% (0/53),0.00% (0/3),0.00% (0/29)
src/haproxy/include/haproxy/protobuf.h,0.00% (0/262),0.00% (0/14),0.00% (0/161)
src/haproxy/include/haproxy/protocol.h,0.00% (0/10),0.00% (0/2),0.00% (0/14)
src/haproxy/include/haproxy/proxy.h,0.00% (0/86),0.00% (0/10),0.00% (0/104)
src/haproxy/include/haproxy/queue.h,0.00% (0/34),0.00% (0/6),0.00% (0/34)
src/haproxy/include/haproxy/regex.h,0.00% (0/71),0.00% (0/3),0.00% (0/9)
src/haproxy/include/haproxy/sample.h,0.00% (0/74),0.00% (0/6),0.00% (0/59)
src/haproxy/include/haproxy/server.h,0.00% (0/180),0.00% (0/15),0.00% (0/69)
src/haproxy/include/haproxy/session.h,0.00% (0/147),0.00% (0/8),0.00% (0/100)
src/haproxy/include/haproxy/shctx.h,0.00% (0/15),0.00% (0/3),0.00% (0/9)
src/haproxy/include/haproxy/signal.h,0.00% (0/4),0.00% (0/1),0.00% (0/3)
src/haproxy/include/haproxy/sink.h,0.00% (0/32),0.00% (0/1),0.00% (0/24)
src/haproxy/include/haproxy/spoe.h,0.00% (0/224),0.00% (0/6),0.00% (0/142)
src/haproxy/include/haproxy/stats.h,0.00% (0/39),0.00% (0/11),0.00% (0/15)
src/haproxy/include/haproxy/stick_table.h,0.00% (0/204),0.00% (0/20),0.00% (0/156)
src/haproxy/include/haproxy/stream.h,0.00% (0/204),0.00% (0/16),0.00% (0/233)
src/haproxy/include/haproxy/stream_interface.h,0.00% (0/302),0.00% (0/49),0.00% (0/179)
src/haproxy/include/haproxy/task.h,0.00% (0/344),0.00% (0/28),0.00% (0/225)
src/haproxy/include/haproxy/tcpcheck.h,0.00% (0/9),0.00% (0/3),0.00% (0/4)
src/haproxy/include/haproxy/thread.h,0.00% (0/33),0.00% (0/12),0.00% (0/14)
src/haproxy/include/haproxy/ticks.h,0.00% (0/50),0.00% (0/9),0.00% (0/33)
src/haproxy/include/haproxy/time.h,0.00% (0/255),0.00% (0/30),0.00% (0/119)
src/haproxy/include/haproxy/tools.h,3.44% (9/262),5.56% (2/36),4.26% (4/94)
src/haproxy/include/haproxy/trace.h,0.00% (0/17),0.00% (0/3),0.00% (0/10)
src/haproxy/include/import/eb32sctree.h,0.00% (0/60),0.00% (0/4),0.00% (0/42)
src/haproxy/include/import/eb32tree.h,0.00% (0/374),0.00% (0/14),0.00% (0/194)
src/haproxy/include/import/eb64tree.h,0.00% (0/459),0.00% (0/14),0.00% (0/222)
src/haproxy/include/import/ebimtree.h,0.00% (0/268),0.00% (0/2),0.00% (0/121)
src/haproxy/include/import/ebistree.h,0.00% (0/266),0.00% (0/3),0.00% (0/76)
src/haproxy/include/import/ebmbtree.h,0.00% (0/660),0.00% (0/15),0.00% (0/300)
src/haproxy/include/import/ebpttree.h,0.00% (0/66),0.00% (0/16),0.00% (0/28)
src/haproxy/include/import/ebsttree.h,0.00% (0/266),0.00% (0/3),0.00% (0/76)
src/haproxy/include/import/ebtree.h,0.00% (0/412),0.00% (0/27),0.00% (0/173)
src/haproxy/include/import/ist.h,0.00% (0/447),0.00% (0/42),0.00% (0/139)
src/haproxy/include/import/slz-tables.h,100.00% (72/72),100.00% (3/3),100.00% (50/50)
src/haproxy/include/import/slz.h,0.00% (0/37),0.00% (0/3),0.00% (0/15)
src/haproxy/include/import/xxhash.h,0.00% (0/1860),0.00% (0/115),0.00% (0/657)
src/haproxy/src/acl.c,0.00% (0/640),0.00% (0/16),0.00% (0/508)
src/haproxy/src/action.c,0.00% (0/139),0.00% (0/7),0.00% (0/117)
src/haproxy/src/activity.c,0.00% (0/182),0.00% (0/5),0.00% (0/133)
src/haproxy/src/applet.c,0.00% (0/47),0.00% (0/2),0.00% (0/54)
src/haproxy/src/arg.c,0.00% (0/262),0.00% (0/3),0.00% (0/273)
src/haproxy/src/auth.c,0.00% (0/114),0.00% (0/4),0.00% (0/95)
src/haproxy/src/backend.c,0.00% (0/1696),0.00% (0/51),0.00% (0/1799)
src/haproxy/src/base64.c,0.00% (0/168),0.00% (0/6),0.00% (0/116)
src/haproxy/src/cache.c,0.00% (0/1419),0.00% (0/50),0.00% (0/1320)
src/haproxy/src/cfgdiag.c,0.00% (0/51),0.00% (0/4),0.00% (0/27)
src/haproxy/src/cfgparse-listen.c,0.00% (0/80),0.00% (0/13),0.00% (0/53)
src/haproxy/src/cfgparse.c,21.82% (463/2122),17.24% (5/29),20.34% (405/1991)
src/haproxy/src/channel.c,0.00% (0/252),0.00% (0/13),0.00% (0/241)
src/haproxy/src/check.c,0.00% (0/1423),0.00% (0/54),0.00% (0/2322)
