Path,Line Coverage,Function Coverage,Region Coverage
src/haproxy/fuzz_hpack_decode.c,88.46% (23/26),50.00% (1/2),77.78% (7/9)
src/haproxy/include/haproxy/chunk.h,5.52% (9/163),11.11% (2/18),23.81% (5/21)
src/haproxy/include/haproxy/freq_ctr.h,0.00% (0/116),0.00% (0/14),0.00% (0/14)
src/haproxy/include/haproxy/h2.h,0.00% (0/91),0.00% (0/6),0.00% (0/6)
src/haproxy/include/haproxy/hpack-tbl.h,94.44% (68/72),100.00% (11/11),67.16% (45/67)
src/haproxy/include/haproxy/intops.h,0.00% (0/306),0.00% (0/25),0.00% (0/25)
src/haproxy/include/haproxy/list.h,0.00% (0/19),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/pool-os.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/include/haproxy/pool.h,0.00% (0/120),0.00% (0/8),0.00% (0/8)
src/haproxy/include/haproxy/thread.h,0.00% (0/33),0.00% (0/12),0.00% (0/12)
src/haproxy/include/haproxy/ticks.h,0.00% (0/50),0.00% (0/9),0.00% (0/9)
src/haproxy/include/haproxy/time.h,0.00% (0/255),0.00% (0/30),0.00% (0/30)
src/haproxy/include/haproxy/tools.h,0.00% (0/262),0.00% (0/36),0.00% (0/36)
src/haproxy/include/import/eb32sctree.h,0.00% (0/60),0.00% (0/4),0.00% (0/4)
src/haproxy/include/import/eb32tree.h,0.00% (0/374),0.00% (0/14),0.00% (0/14)
src/haproxy/include/import/eb64tree.h,0.00% (0/459),0.00% (0/14),0.00% (0/14)
src/haproxy/include/import/ebpttree.h,0.00% (0/66),0.00% (0/16),0.00% (0/16)
src/haproxy/include/import/ebtree.h,0.00% (0/412),0.00% (0/27),0.00% (0/27)
src/haproxy/include/import/ist.h,1.34% (6/447),4.76% (2/42),4.76% (2/42)
src/haproxy/src/hpack-dec.c,98.64% (291/295),100.00% (4/4),98.62% (285/289)
src/haproxy/src/hpack-huff.c,89.89% (80/89),50.00% (1/2),93.65% (59/63)
src/haproxy/src/hpack-tbl.c,97.67% (126/129),100.00% (3/3),95.00% (57/60)
Totals,15.66% (603/3850),7.97% (24/301),59.74% (460/770)
