Path,Line Coverage,Function Coverage,Region Coverage
src/irssi/src/core/args.c,65.00% (13/20),100.00% (2/2),80.00% (8/10)
src/irssi/src/core/channels-setup.c,4.14% (6/145),8.33% (1/12),4.40% (8/182)
src/irssi/src/core/channels.c,2.23% (4/179),6.25% (1/16),1.06% (4/378)
src/irssi/src/core/chat-commands.c,6.56% (21/320),6.25% (1/16),9.80% (40/408)
src/irssi/src/core/chat-protocols.c,3.05% (4/131),5.56% (1/18),0.34% (1/293)
src/irssi/src/core/chatnets.c,5.31% (6/113),9.09% (1/11),5.56% (10/180)
src/irssi/src/core/commands.c,14.33% (94/656),20.00% (7/35),19.37% (223/1151)
src/irssi/src/core/core.c,52.69% (98/186),50.00% (6/12),58.33% (42/72)
src/irssi/src/core/expandos.c,36.23% (175/483),10.20% (5/49),21.00% (159/757)
src/irssi/src/core/ignore.c,4.99% (17/341),9.52% (2/21),2.12% (9/424)
src/irssi/src/core/iregex-gregex.c,0.00% (0/100),0.00% (0/8),0.00% (0/91)
src/irssi/src/core/levels.c,70.48% (74/105),75.00% (3/4),60.43% (84/139)
src/irssi/src/core/line-split.c,0.00% (0/63),0.00% (0/6),0.00% (0/107)
src/irssi/src/core/log-away.c,18.46% (12/65),16.67% (1/6),20.75% (11/53)
src/irssi/src/core/log.c,6.62% (26/393),7.69% (2/26),4.57% (26/569)
src/irssi/src/core/masks.c,0.00% (0/76),0.00% (0/5),0.00% (0/204)
src/irssi/src/core/misc.c,20.98% (154/734),23.53% (12/51),18.10% (152/840)
src/irssi/src/core/modules-load.c,0.00% (0/228),0.00% (0/10),0.00% (0/198)
src/irssi/src/core/modules.c,39.58% (76/192),33.33% (5/15),35.50% (71/200)
src/irssi/src/core/net-disconnect.c,4.94% (4/81),16.67% (1/6),1.79% (1/56)
src/irssi/src/core/net-nonblock.c,0.00% (0/50),0.00% (0/3),0.00% (0/61)
src/irssi/src/core/net-sendbuffer.c,0.00% (0/98),0.00% (0/9),0.00% (0/162)
src/irssi/src/core/network-openssl.c,0.00% (0/646),0.00% (0/25),0.00% (0/685)
src/irssi/src/core/network.c,0.00% (0/346),0.00% (0/27),0.00% (0/462)
src/irssi/src/core/nicklist.c,1.07% (4/374),3.03% (1/33),0.99% (7/706)
src/irssi/src/core/nickmatch-cache.c,32.79% (20/61),37.50% (3/8),22.76% (28/123)
src/irssi/src/core/pidwait.c,15.15% (5/33),16.67% (1/6),8.70% (2/23)
src/irssi/src/core/queries.c,2.00% (2/100),10.00% (1/10),0.44% (1/228)
src/irssi/src/core/rawlog.c,11.11% (16/144),16.67% (3/18),5.79% (21/363)
src/irssi/src/core/recode.c,16.27% (34/209),45.45% (5/11),13.78% (31/225)
src/irssi/src/core/refstrings.c,10.53% (2/19),20.00% (1/5),9.09% (1/11)
src/irssi/src/core/servers-reconnect.c,5.85% (20/342),11.76% (2/17),7.25% (30/414)
src/irssi/src/core/servers-setup.c,7.56% (40/529),12.00% (3/25),6.61% (54/817)
src/irssi/src/core/servers.c,1.36% (7/515),3.33% (1/30),0.82% (6/729)
src/irssi/src/core/session.c,9.13% (22/241),16.67% (3/18),20.89% (33/158)
src/irssi/src/core/settings.c,33.23% (207/623),41.82% (23/55),32.01% (193/603)
src/irssi/src/core/signals.c,38.58% (98/254),29.17% (7/24),43.38% (190/438)
src/irssi/src/core/special-vars.c,37.34% (205/549),37.04% (10/27),42.68% (236/553)
src/irssi/src/core/tls.c,0.00% (0/126),0.00% (0/22),0.00% (0/564)
src/irssi/src/core/utf8.c,17.57% (13/74),40.00% (2/5),20.83% (20/96)
src/irssi/src/core/wcwidth-wrapper.c,67.44% (29/43),60.00% (3/5),73.08% (19/26)
src/irssi/src/core/wcwidth.c,0.00% (0/89),0.00% (0/2),0.00% (0/73)
src/irssi/src/core/write-buffer.c,24.55% (27/110),33.33% (3/9),20.73% (17/82)
src/irssi/src/fe-common/core/chat-completion.c,6.86% (58/845),3.85% (2/52),6.81% (119/1748)
src/irssi/src/fe-common/core/command-history.c,7.30% (23/315),7.89% (3/38),8.37% (35/418)
src/irssi/src/fe-common/core/completion.c,3.01% (19/631),4.35% (1/23),3.50% (41/1173)
src/irssi/src/fe-common/core/fe-channels.c,4.80% (23/479),4.76% (1/21),8.18% (56/685)
src/irssi/src/fe-common/core/fe-common-core.c,21.12% (68/322),14.29% (2/14),14.15% (45/318)
src/irssi/src/fe-common/core/fe-core-commands.c,8.57% (18/210),7.14% (1/14),14.29% (39/273)
src/irssi/src/fe-common/core/fe-exec.c,1.99% (9/452),4.55% (1/22),3.56% (19/533)
src/irssi/src/fe-common/core/fe-expandos.c,34.78% (8/23),25.00% (1/4),8.33% (1/12)
src/irssi/src/fe-common/core/fe-help.c,2.22% (4/180),12.50% (1/8),4.14% (6/145)
src/irssi/src/fe-common/core/fe-ignore-messages.c,16.47% (14/85),7.14% (1/14),40.22% (37/92)
src/irssi/src/fe-common/core/fe-ignore.c,3.72% (8/215),11.11% (1/9),7.79% (18/231)
src/irssi/src/fe-common/core/fe-log.c,13.77% (72/523),14.29% (5/35),18.15% (102/562)
src/irssi/src/fe-common/core/fe-messages.c,6.70% (39/582),3.23% (1/31),13.88% (92/663)
src/irssi/src/fe-common/core/fe-modules.c,4.37% (8/183),9.09% (1/11),8.78% (18/205)
src/irssi/src/fe-common/core/fe-queries.c,10.36% (26/251),11.11% (2/18),11.66% (52/446)
src/irssi/src/fe-common/core/fe-recode.c,20.74% (28/135),25.00% (2/8),20.31% (26/128)
src/irssi/src/fe-common/core/fe-server.c,8.77% (32/365),4.35% (1/23),9.32% (56/601)
src/irssi/src/fe-common/core/fe-settings.c,3.16% (10/316),4.55% (1/22),7.08% (24/339)
src/irssi/src/fe-common/core/fe-tls.c,8.70% (4/46),33.33% (1/3),12.24% (6/49)
src/irssi/src/fe-common/core/fe-windows.c,16.99% (95/559),10.64% (5/47),10.94% (90/823)
src/irssi/src/fe-common/core/formats.c,44.80% (534/1192),51.28% (20/39),37.53% (471/1255)
src/irssi/src/fe-common/core/hilight-text.c,13.10% (65/496),30.77% (8/26),8.55% (55/643)
src/irssi/src/fe-common/core/keyboard.c,7.59% (47/619),7.14% (3/42),7.65% (73/954)
src/irssi/src/fe-common/core/printtext.c,23.91% (88/368),23.33% (7/30),30.04% (137/456)
src/irssi/src/fe-common/core/themes.c,48.54% (500/1030),46.55% (27/58),48.36% (487/1007)
src/irssi/src/fe-common/core/window-activity.c,30.53% (29/95),42.86% (3/7),29.17% (28/96)
src/irssi/src/fe-common/core/window-commands.c,5.99% (40/668),2.50% (1/40),15.12% (109/721)
src/irssi/src/fe-common/core/window-items.c,3.26% (7/215),5.88% (1/17),3.14% (12/382)
src/irssi/src/fe-common/core/windows-layout.c,2.86% (5/175),8.33% (1/12),5.38% (10/186)
src/irssi/src/fe-fuzz/irssi.c,100.00% (23/23),100.00% (2/2),100.00% (6/6)
src/irssi/src/fe-fuzz/null-logger.c,50.00% (3/6),50.00% (1/2),50.00% (1/2)
src/irssi/src/lib-config/get.c,42.42% (98/231),46.67% (7/15),43.09% (215/499)
src/irssi/src/lib-config/parse.c,75.43% (175/232),81.25% (13/16),68.11% (267/392)
src/irssi/src/lib-config/set.c,50.91% (56/110),33.33% (4/12),44.41% (131/295)
src/irssi/src/lib-config/write.c,0.00% (0/269),0.00% (0/11),0.00% (0/530)
src/irssi/subprojects/glib-2.58.3/glib/garcbox.c,0.00% (0/52),0.00% (0/7),0.00% (0/201)
src/irssi/subprojects/glib-2.58.3/glib/garray.c,2.48% (14/565),3.33% (2/60),0.29% (4/1403)
src/irssi/subprojects/glib-2.58.3/glib/gbitlock.c,27.47% (25/91),22.22% (2/9),29.41% (45/153)
src/irssi/subprojects/glib-2.58.3/glib/gbytes.c,0.00% (0/125),0.00% (0/15),0.00% (0/426)
src/irssi/subprojects/glib-2.58.3/glib/gcharset.c,16.38% (38/232),15.38% (2/13),16.93% (43/254)
src/irssi/subprojects/glib-2.58.3/glib/gconvert.c,2.23% (17/764),9.68% (3/31),1.53% (11/721)
src/irssi/subprojects/glib-2.58.3/glib/gdataset.c,4.43% (20/451),16.67% (4/24),7.19% (63/876)
src/irssi/subprojects/glib-2.58.3/glib/genviron.c,4.44% (4/90),11.11% (1/9),4.97% (15/302)
src/irssi/subprojects/glib-2.58.3/glib/gerror.c,0.00% (0/128),0.00% (0/13),0.00% (0/235)
src/irssi/subprojects/glib-2.58.3/glib/gfileutils.c,17.62% (154/874),22.86% (8/35),27.01% (252/933)
src/irssi/subprojects/glib-2.58.3/glib/ggettext.c,0.00% (0/84),0.00% (0/9),0.00% (0/85)
src/irssi/subprojects/glib-2.58.3/glib/ghash.c,53.01% (335/632),52.83% (28/53),37.70% (432/1146)
src/irssi/subprojects/glib-2.58.3/glib/giochannel.c,0.00% (0/1263),0.00% (0/38),0.00% (0/2703)
src/irssi/subprojects/glib-2.58.3/glib/giounix.c,0.00% (0/354),0.00% (0/15),0.00% (0/255)
src/irssi/subprojects/glib-2.58.3/glib/glib-autocleanups.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/irssi/subprojects/glib-2.58.3/glib/glib-init.c,39.80% (39/98),71.43% (5/7),22.81% (13/57)
src/irssi/subprojects/glib-2.58.3/glib/glib-unix.c,0.00% (0/121),0.00% (0/10),0.00% (0/125)
src/irssi/subprojects/glib-2.58.3/glib/glist.c,5.50% (23/418),11.43% (4/35),5.18% (17/328)
src/irssi/subprojects/glib-2.58.3/glib/gmacros.h,0.00% (0/5),0.00% (0/5),0.00% (0/5)
src/irssi/subprojects/glib-2.58.3/glib/gmain.c,11.23% (244/2173),13.77% (19/138),10.08% (336/3334)
src/irssi/subprojects/glib-2.58.3/glib/gmem.c,37.50% (51/136),47.06% (8/17),35.75% (69/193)
src/irssi/subprojects/glib-2.58.3/glib/gmem.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/irssi/subprojects/glib-2.58.3/glib/gmessages.c,0.74% (9/1212),1.96% (1/51),0.10% (1/1017)
src/irssi/subprojects/glib-2.58.3/glib/goption.c,11.37% (149/1311),23.53% (12/51),12.95% (214/1653)
