Path,Line Coverage,Function Coverage,Region Coverage
src/irssi/src/core/args.c,65.00% (13/20),100.00% (2/2),80.00% (8/10)
src/irssi/src/core/channels-setup.c,4.14% (6/145),8.33% (1/12),4.40% (8/182)
src/irssi/src/core/channels.c,37.99% (68/179),37.50% (6/16),41.01% (155/378)
src/irssi/src/core/chat-commands.c,6.56% (21/320),6.25% (1/16),9.80% (40/408)
src/irssi/src/core/chat-protocols.c,41.98% (55/131),38.89% (7/18),32.76% (96/293)
src/irssi/src/core/chatnets.c,15.04% (17/113),27.27% (3/11),25.56% (46/180)
src/irssi/src/core/commands.c,33.99% (223/656),40.00% (14/35),35.01% (403/1151)
src/irssi/src/core/core.c,52.69% (98/186),50.00% (6/12),58.33% (42/72)
src/irssi/src/core/expandos.c,41.41% (200/483),18.37% (9/49),22.99% (174/757)
src/irssi/src/core/ignore.c,16.13% (55/341),28.57% (6/21),10.38% (44/424)
src/irssi/src/core/iregex-gregex.c,0.00% (0/100),0.00% (0/8),0.00% (0/91)
src/irssi/src/core/levels.c,71.43% (75/105),75.00% (3/4),61.87% (86/139)
src/irssi/src/core/line-split.c,0.00% (0/63),0.00% (0/6),0.00% (0/107)
src/irssi/src/core/log-away.c,89.23% (58/65),83.33% (5/6),86.79% (46/53)
src/irssi/src/core/log.c,50.89% (200/393),61.54% (16/26),49.91% (284/569)
src/irssi/src/core/masks.c,0.00% (0/76),0.00% (0/5),0.00% (0/204)
src/irssi/src/core/misc.c,32.43% (238/734),41.18% (21/51),25.83% (217/840)
src/irssi/src/core/modules-load.c,0.00% (0/228),0.00% (0/10),0.00% (0/198)
src/irssi/src/core/modules.c,71.35% (137/192),66.67% (10/15),80.00% (160/200)
src/irssi/src/core/net-disconnect.c,19.75% (16/81),33.33% (2/6),30.36% (17/56)
src/irssi/src/core/net-nonblock.c,0.00% (0/50),0.00% (0/3),0.00% (0/61)
src/irssi/src/core/net-sendbuffer.c,34.69% (34/98),44.44% (4/9),55.56% (90/162)
src/irssi/src/core/network-openssl.c,0.00% (0/646),0.00% (0/25),0.00% (0/685)
src/irssi/src/core/network.c,4.62% (16/346),7.41% (2/27),10.82% (50/462)
src/irssi/src/core/nicklist.c,20.05% (75/374),30.30% (10/33),24.65% (174/706)
src/irssi/src/core/nickmatch-cache.c,32.79% (20/61),37.50% (3/8),22.76% (28/123)
src/irssi/src/core/pidwait.c,15.15% (5/33),16.67% (1/6),8.70% (2/23)
src/irssi/src/core/queries.c,44.00% (44/100),50.00% (5/10),49.56% (113/228)
src/irssi/src/core/rawlog.c,29.86% (43/144),38.89% (7/18),23.69% (86/363)
src/irssi/src/core/recode.c,43.06% (90/209),72.73% (8/11),37.78% (85/225)
src/irssi/src/core/refstrings.c,52.63% (10/19),60.00% (3/5),63.64% (7/11)
src/irssi/src/core/servers-reconnect.c,9.65% (33/342),23.53% (4/17),17.39% (72/414)
src/irssi/src/core/servers-setup.c,20.04% (106/529),32.00% (8/25),19.46% (159/817)
src/irssi/src/core/servers.c,34.37% (177/515),50.00% (15/30),36.76% (268/729)
src/irssi/src/core/session.c,9.13% (22/241),16.67% (3/18),20.89% (33/158)
src/irssi/src/core/settings.c,36.76% (229/623),47.27% (26/55),36.98% (223/603)
src/irssi/src/core/signals.c,59.06% (150/254),50.00% (12/24),61.64% (270/438)
src/irssi/src/core/special-vars.c,43.90% (241/549),44.44% (12/27),47.56% (263/553)
src/irssi/src/core/tls.c,0.00% (0/126),0.00% (0/22),0.00% (0/564)
src/irssi/src/core/utf8.c,62.16% (46/74),80.00% (4/5),51.04% (49/96)
src/irssi/src/core/wcwidth-wrapper.c,67.44% (29/43),60.00% (3/5),73.08% (19/26)
src/irssi/src/core/wcwidth.c,0.00% (0/89),0.00% (0/2),0.00% (0/73)
src/irssi/src/core/write-buffer.c,32.73% (36/110),44.44% (4/9),28.05% (23/82)
src/irssi/src/fe-common/core/chat-completion.c,14.44% (122/845),21.15% (11/52),14.82% (259/1748)
src/irssi/src/fe-common/core/command-history.c,8.25% (26/315),10.53% (4/38),8.61% (36/418)
src/irssi/src/fe-common/core/completion.c,3.01% (19/631),4.35% (1/23),3.50% (41/1173)
src/irssi/src/fe-common/core/fe-channels.c,11.27% (54/479),23.81% (5/21),18.69% (128/685)
src/irssi/src/fe-common/core/fe-common-core.c,26.09% (84/322),42.86% (6/14),24.21% (77/318)
src/irssi/src/fe-common/core/fe-core-commands.c,23.81% (50/210),14.29% (2/14),23.81% (65/273)
src/irssi/src/fe-common/core/fe-exec.c,1.99% (9/452),4.55% (1/22),3.56% (19/533)
src/irssi/src/fe-common/core/fe-expandos.c,34.78% (8/23),25.00% (1/4),8.33% (1/12)
src/irssi/src/fe-common/core/fe-help.c,2.22% (4/180),12.50% (1/8),4.14% (6/145)
src/irssi/src/fe-common/core/fe-ignore-messages.c,60.00% (51/85),78.57% (11/14),66.30% (61/92)
src/irssi/src/fe-common/core/fe-ignore.c,3.72% (8/215),11.11% (1/9),7.79% (18/231)
src/irssi/src/fe-common/core/fe-log.c,25.43% (133/523),31.43% (11/35),25.98% (146/562)
src/irssi/src/fe-common/core/fe-messages.c,44.16% (257/582),54.84% (17/31),46.91% (311/663)
src/irssi/src/fe-common/core/fe-modules.c,4.37% (8/183),9.09% (1/11),8.78% (18/205)
src/irssi/src/fe-common/core/fe-queries.c,39.04% (98/251),55.56% (10/18),42.60% (190/446)
src/irssi/src/fe-common/core/fe-recode.c,20.74% (28/135),25.00% (2/8),20.31% (26/128)
src/irssi/src/fe-common/core/fe-server.c,11.51% (42/365),13.04% (3/23),14.98% (90/601)
src/irssi/src/fe-common/core/fe-settings.c,3.16% (10/316),4.55% (1/22),7.08% (24/339)
src/irssi/src/fe-common/core/fe-tls.c,8.70% (4/46),33.33% (1/3),12.24% (6/49)
src/irssi/src/fe-common/core/fe-windows.c,35.96% (201/559),40.43% (19/47),38.52% (317/823)
src/irssi/src/fe-common/core/formats.c,43.46% (518/1192),56.41% (22/39),39.84% (500/1255)
src/irssi/src/fe-common/core/hilight-text.c,16.13% (80/496),34.62% (9/26),9.80% (63/643)
src/irssi/src/fe-common/core/keyboard.c,7.59% (47/619),7.14% (3/42),7.65% (73/954)
src/irssi/src/fe-common/core/printtext.c,44.57% (164/368),53.33% (16/30),39.91% (182/456)
src/irssi/src/fe-common/core/themes.c,48.54% (500/1030),46.55% (27/58),48.36% (487/1007)
src/irssi/src/fe-common/core/window-activity.c,81.05% (77/95),85.71% (6/7),76.04% (73/96)
src/irssi/src/fe-common/core/window-commands.c,5.99% (40/668),2.50% (1/40),15.12% (109/721)
src/irssi/src/fe-common/core/window-items.c,61.40% (132/215),70.59% (12/17),60.73% (232/382)
src/irssi/src/fe-common/core/windows-layout.c,2.86% (5/175),8.33% (1/12),5.38% (10/186)
src/irssi/src/fe-common/irc/dcc/fe-dcc-chat-messages.c,8.51% (8/94),12.50% (1/8),31.15% (19/61)
src/irssi/src/fe-common/irc/dcc/fe-dcc-chat.c,8.13% (20/246),5.26% (1/19),10.02% (52/519)
src/irssi/src/fe-common/irc/dcc/fe-dcc-get.c,12.35% (10/81),10.00% (1/10),13.66% (25/183)
src/irssi/src/fe-common/irc/dcc/fe-dcc-send.c,9.43% (10/106),10.00% (1/10),8.09% (25/309)
src/irssi/src/fe-common/irc/dcc/fe-dcc-server.c,15.15% (5/33),20.00% (1/5),15.38% (10/65)
src/irssi/src/fe-common/irc/dcc/fe-dcc.c,15.24% (16/105),9.09% (1/11),14.29% (28/196)
src/irssi/src/fe-common/irc/fe-cap.c,60.71% (17/28),50.00% (2/4),65.52% (19/29)
src/irssi/src/fe-common/irc/fe-common-irc.c,53.49% (23/43),50.00% (1/2),75.00% (9/12)
src/irssi/src/fe-common/irc/fe-ctcp.c,29.21% (26/89),20.00% (2/10),29.36% (32/109)
src/irssi/src/fe-common/irc/fe-events-numeric.c,83.30% (479/575),97.78% (44/45),79.45% (924/1163)
src/irssi/src/fe-common/irc/fe-events.c,58.40% (205/351),64.29% (18/28),53.51% (396/740)
src/irssi/src/fe-common/irc/fe-irc-channels.c,75.51% (37/49),66.67% (4/6),60.53% (46/76)
src/irssi/src/fe-common/irc/fe-irc-commands.c,4.90% (14/286),5.88% (1/17),6.53% (49/750)
src/irssi/src/fe-common/irc/fe-irc-messages.c,25.21% (61/242),25.00% (3/12),27.23% (61/224)
src/irssi/src/fe-common/irc/fe-irc-queries.c,19.15% (9/47),40.00% (2/5),30.77% (28/91)
src/irssi/src/fe-common/irc/fe-irc-server.c,15.08% (19/126),33.33% (2/6),14.86% (22/148)
src/irssi/src/fe-common/irc/fe-ircnet.c,7.02% (12/171),12.50% (1/8),7.47% (23/308)
src/irssi/src/fe-common/irc/fe-modes.c,19.69% (25/127),30.00% (3/10),20.95% (31/148)
src/irssi/src/fe-common/irc/fe-netjoin.c,22.43% (72/321),47.06% (8/17),31.42% (153/487)
src/irssi/src/fe-common/irc/fe-netsplit.c,6.64% (16/241),11.11% (2/18),6.50% (18/277)
src/irssi/src/fe-common/irc/fe-sasl.c,71.43% (10/14),75.00% (3/4),81.25% (13/16)
src/irssi/src/fe-common/irc/fe-whois.c,75.00% (231/308),85.71% (18/21),72.43% (394/544)
src/irssi/src/fe-common/irc/irc-completion.c,30.00% (3/10),33.33% (1/3),44.44% (4/9)
src/irssi/src/fe-common/irc/irc-modules.c,50.00% (1/2),50.00% (1/2),50.00% (1/2)
src/irssi/src/fe-common/irc/notifylist/fe-notifylist.c,7.09% (10/141),9.09% (1/11),7.89% (21/266)
src/irssi/src/fe-fuzz/null-logger.c,100.00% (6/6),100.00% (2/2),100.00% (2/2)
src/irssi/src/fe-fuzz/server.c,98.00% (98/100),100.00% (5/5),88.46% (46/52)
src/irssi/src/irc/core/bans.c,9.87% (23/233),25.00% (3/12),10.63% (49/461)
src/irssi/src/irc/core/channel-events.c,58.73% (148/252),93.33% (14/15),59.79% (226/378)
src/irssi/src/irc/core/channel-rejoin.c,37.13% (62/167),58.33% (7/12),40.30% (160/397)
src/irssi/src/irc/core/channels-query.c,16.02% (66/412),33.33% (7/21),27.94% (157/562)
