Path,Line Coverage,Function Coverage,Region Coverage
src/json-c/arraylist.c,47.15% (58/123),41.67% (5/12),46.46% (46/99)
src/json-c/json_object.c,16.38% (197/1203),30.30% (30/99),13.85% (123/888)
src/json-c/json_tokener.c,83.50% (769/921),50.00% (7/14),86.89% (928/1068)
src/json-c/json_util.c,12.42% (20/161),15.38% (2/13),21.51% (20/93)
src/json-c/linkhash.c,46.33% (158/341),45.00% (9/20),48.67% (110/226)
src/json-c/linkhash.h,100.00% (3/3),100.00% (1/1),100.00% (1/1)
src/json-c/printbuf.c,46.60% (48/103),71.43% (5/7),47.37% (27/57)
src/json-c/random_seed.c,48.65% (18/37),66.67% (2/3),60.00% (12/20)
src/json-c/strerror_override.c,0.00% (0/33),0.00% (0/1),0.00% (0/26)
src/tokener_parse_ex_fuzzer.cc,100.00% (8/8),100.00% (1/1),100.00% (1/1)
Totals,43.61% (1279/2933),36.26% (62/171),51.15% (1268/2479)
