Path,Line Coverage,Function Coverage,Region Coverage
src/sleuthkit/tsk/auto/guid.cpp,36.47% (31/85),25.00% (3/12),58.33% (21/36)
src/sleuthkit/tsk/auto/guid.h,0.00% (0/6),0.00% (0/4),0.00% (0/4)
src/sleuthkit/tsk/base/md5c.c,0.00% (0/139),0.00% (0/8),0.00% (0/222)
src/sleuthkit/tsk/base/mymalloc.c,0.00% (0/25),0.00% (0/2),0.00% (0/13)
src/sleuthkit/tsk/base/sha1c.c,0.00% (0/186),0.00% (0/7),0.00% (0/371)
src/sleuthkit/tsk/base/tsk_base.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/sleuthkit/tsk/base/tsk_endian.c,0.00% (0/33),0.00% (0/3),0.00% (0/39)
src/sleuthkit/tsk/base/tsk_error.c,0.00% (0/188),0.00% (0/15),0.00% (0/138)
src/sleuthkit/tsk/base/tsk_list.c,0.00% (0/95),0.00% (0/4),0.00% (0/71)
src/sleuthkit/tsk/base/tsk_lock.c,0.00% (0/28),0.00% (0/4),0.00% (0/10)
src/sleuthkit/tsk/base/tsk_printf.c,0.00% (0/28),0.00% (0/3),0.00% (0/13)
src/sleuthkit/tsk/base/tsk_stack.c,0.00% (0/42),0.00% (0/5),0.00% (0/22)
src/sleuthkit/tsk/base/tsk_unicode.c,0.00% (0/408),0.00% (0/7),0.00% (0/315)
src/sleuthkit/tsk/fs/apfs.cpp,0.00% (0/647),0.00% (0/59),0.00% (0/325)
src/sleuthkit/tsk/fs/apfs_compat.cpp,0.00% (0/1365),0.00% (0/45),0.00% (0/710)
src/sleuthkit/tsk/fs/apfs_compat.hpp,0.00% (0/6),0.00% (0/4),0.00% (0/4)
src/sleuthkit/tsk/fs/apfs_fs.cpp,0.00% (0/155),0.00% (0/16),0.00% (0/41)
src/sleuthkit/tsk/fs/apfs_fs.hpp,0.00% (0/48),0.00% (0/21),0.00% (0/23)
src/sleuthkit/tsk/fs/apfs_open.cpp,0.00% (0/33),0.00% (0/2),0.00% (0/21)
src/sleuthkit/tsk/fs/decmpfs.c,0.00% (0/579),0.00% (0/15),0.00% (0/271)
src/sleuthkit/tsk/fs/exfatfs.c,0.00% (0/527),0.00% (0/15),0.00% (0/345)
src/sleuthkit/tsk/fs/exfatfs_dent.c,0.00% (0/338),0.00% (0/8),0.00% (0/150)
src/sleuthkit/tsk/fs/exfatfs_meta.c,0.00% (0/984),0.00% (0/29),0.00% (0/812)
src/sleuthkit/tsk/fs/ext2fs.c,0.00% (0/2544),0.00% (0/27),0.00% (0/2514)
src/sleuthkit/tsk/fs/ext2fs_dent.c,0.00% (0/231),0.00% (0/3),0.00% (0/185)
src/sleuthkit/tsk/fs/ext2fs_journal.c,0.00% (0/343),0.00% (0/4),0.00% (0/268)
src/sleuthkit/tsk/fs/fatfs.c,0.00% (0/520),0.00% (0/11),0.00% (0/387)
src/sleuthkit/tsk/fs/fatfs_dent.cpp,0.00% (0/204),0.00% (0/8),0.00% (0/112)
