Path,Line Coverage,Function Coverage,Region Coverage
src/sleuthkit/tsk/base/mymalloc.c,32.00% (8/25),50.00% (1/2),23.08% (3/13)
src/sleuthkit/tsk/base/tsk_base.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/sleuthkit/tsk/base/tsk_endian.c,33.33% (11/33),33.33% (1/3),28.21% (11/39)
src/sleuthkit/tsk/base/tsk_error.c,22.87% (43/188),40.00% (6/15),10.14% (14/138)
src/sleuthkit/tsk/base/tsk_lock.c,64.29% (18/28),100.00% (4/4),70.00% (7/10)
src/sleuthkit/tsk/base/tsk_printf.c,0.00% (0/28),0.00% (0/3),0.00% (0/13)
src/sleuthkit/tsk/base/tsk_unicode.c,0.00% (0/408),0.00% (0/7),0.00% (0/315)
src/sleuthkit/tsk/fs/tsk_fs.h,0.00% (0/799),0.00% (0/138),0.00% (0/138)
src/sleuthkit/tsk/hashdb/tsk_hashdb.h,0.00% (0/40),0.00% (0/7),0.00% (0/7)
src/sleuthkit/tsk/img/img_io.c,57.35% (78/136),50.00% (1/2),64.29% (54/84)
src/sleuthkit/tsk/img/tsk_img.h,0.00% (0/72),0.00% (0/14),0.00% (0/14)
src/sleuthkit/tsk/util/detect_encryption.c,0.00% (0/192),0.00% (0/13),0.00% (0/112)
src/sleuthkit/tsk/vs/bsd.c,0.00% (0/176),0.00% (0/4),0.00% (0/108)
src/sleuthkit/tsk/vs/dos.c,23.34% (193/827),100.00% (5/5),29.20% (160/548)
src/sleuthkit/tsk/vs/gpt.c,0.00% (0/302),0.00% (0/3),0.00% (0/220)
src/sleuthkit/tsk/vs/mac.c,0.00% (0/168),0.00% (0/3),0.00% (0/118)
src/sleuthkit/tsk/vs/mm_io.c,19.35% (6/31),33.33% (1/3),23.08% (3/13)
src/sleuthkit/tsk/vs/mm_open.c,9.40% (14/149),100.00% (2/2),9.47% (9/95)
src/sleuthkit/tsk/vs/mm_part.c,59.39% (98/165),80.00% (4/5),58.65% (61/104)
src/sleuthkit/tsk/vs/sun.c,0.00% (0/259),0.00% (0/6),0.00% (0/224)
src/sleuthkit/tsk/vs/tsk_vs.h,0.00% (0/147),0.00% (0/28),0.00% (0/28)
src/sleuthkit_mem_img.h,80.00% (32/40),75.00% (3/4),66.67% (10/15)
src/sleuthkit_mmls_fuzzer.cc,94.44% (17/18),100.00% (2/2),85.71% (6/7)
Totals,12.22% (518/4240),10.87% (30/276),14.29% (338/2366)
