Path,Line Coverage,Function Coverage,Region Coverage
src/sleuthkit/tsk/base/mymalloc.c,32.00% (8/25),50.00% (1/2),23.08% (3/13)
src/sleuthkit/tsk/base/tsk_base.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/sleuthkit/tsk/base/tsk_endian.c,27.27% (9/33),33.33% (1/3),25.64% (10/39)
src/sleuthkit/tsk/base/tsk_error.c,22.87% (43/188),40.00% (6/15),10.14% (14/138)
src/sleuthkit/tsk/base/tsk_lock.c,64.29% (18/28),100.00% (4/4),70.00% (7/10)
src/sleuthkit/tsk/base/tsk_printf.c,0.00% (0/28),0.00% (0/3),0.00% (0/13)
src/sleuthkit/tsk/base/tsk_unicode.c,0.00% (0/408),0.00% (0/7),0.00% (0/315)
src/sleuthkit/tsk/fs/tsk_fs.h,0.00% (0/799),0.00% (0/138),0.00% (0/138)
src/sleuthkit/tsk/hashdb/tsk_hashdb.h,0.00% (0/40),0.00% (0/7),0.00% (0/7)
src/sleuthkit/tsk/img/img_io.c,55.15% (75/136),50.00% (1/2),61.90% (52/84)
src/sleuthkit/tsk/img/tsk_img.h,0.00% (0/72),0.00% (0/14),0.00% (0/14)
src/sleuthkit/tsk/util/detect_encryption.c,0.00% (0/192),0.00% (0/13),0.00% (0/112)
src/sleuthkit/tsk/vs/bsd.c,0.00% (0/176),0.00% (0/4),0.00% (0/108)
src/sleuthkit/tsk/vs/dos.c,0.00% (0/669),0.00% (0/4),0.00% (0/437)
src/sleuthkit/tsk/vs/gpt.c,0.00% (0/302),0.00% (0/3),0.00% (0/220)
src/sleuthkit/tsk/vs/mac.c,61.90% (104/168),100.00% (3/3),72.03% (85/118)
src/sleuthkit/tsk/vs/mm_io.c,19.35% (6/31),33.33% (1/3),23.08% (3/13)
src/sleuthkit/tsk/vs/mm_open.c,9.40% (14/149),100.00% (2/2),9.47% (9/95)
src/sleuthkit/tsk/vs/mm_part.c,66.67% (110/165),80.00% (4/5),65.38% (68/104)
src/sleuthkit/tsk/vs/sun.c,0.00% (0/259),0.00% (0/6),0.00% (0/224)
src/sleuthkit/tsk/vs/tsk_vs.h,0.00% (0/147),0.00% (0/28),0.00% (0/28)
src/sleuthkit_mem_img.h,80.00% (32/40),75.00% (3/4),66.67% (10/15)
src/sleuthkit_mmls_fuzzer.cc,94.44% (17/18),100.00% (2/2),85.71% (6/7)
Totals,10.68% (436/4082),10.18% (28/275),11.84% (267/2255)
