Path,Line Coverage,Function Coverage,Region Coverage
src/sleuthkit/tsk/base/mymalloc.c,32.00% (8/25),50.00% (1/2),23.08% (3/13)
src/sleuthkit/tsk/base/tsk_base.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/sleuthkit/tsk/base/tsk_endian.c,33.33% (11/33),33.33% (1/3),28.21% (11/39)
src/sleuthkit/tsk/base/tsk_error.c,19.15% (36/188),33.33% (5/15),8.70% (12/138)
src/sleuthkit/tsk/base/tsk_lock.c,64.29% (18/28),100.00% (4/4),70.00% (7/10)
src/sleuthkit/tsk/base/tsk_printf.c,0.00% (0/28),0.00% (0/3),0.00% (0/13)
src/sleuthkit/tsk/base/tsk_unicode.c,0.00% (0/408),0.00% (0/7),0.00% (0/315)
src/sleuthkit/tsk/fs/tsk_fs.h,0.00% (0/799),0.00% (0/138),0.00% (0/138)
src/sleuthkit/tsk/hashdb/tsk_hashdb.h,0.00% (0/40),0.00% (0/7),0.00% (0/7)
src/sleuthkit/tsk/img/img_io.c,50.74% (69/136),50.00% (1/2),57.14% (48/84)
src/sleuthkit/tsk/img/tsk_img.h,0.00% (0/72),0.00% (0/14),0.00% (0/14)
src/sleuthkit/tsk/util/detect_encryption.c,0.00% (0/192),0.00% (0/13),0.00% (0/112)
src/sleuthkit/tsk/vs/bsd.c,0.00% (0/176),0.00% (0/4),0.00% (0/108)
src/sleuthkit/tsk/vs/dos.c,0.00% (0/669),0.00% (0/4),0.00% (0/437)
src/sleuthkit/tsk/vs/gpt.c,0.00% (0/302),0.00% (0/3),0.00% (0/220)
src/sleuthkit/tsk/vs/mac.c,0.00% (0/168),0.00% (0/3),0.00% (0/118)
src/sleuthkit/tsk/vs/mm_io.c,19.35% (6/31),33.33% (1/3),23.08% (3/13)
src/sleuthkit/tsk/vs/mm_open.c,9.40% (14/149),100.00% (2/2),9.47% (9/95)
src/sleuthkit/tsk/vs/mm_part.c,56.36% (93/165),80.00% (4/5),54.81% (57/104)
src/sleuthkit/tsk/vs/sun.c,58.30% (151/259),100.00% (6/6),60.27% (135/224)
src/sleuthkit/tsk/vs/tsk_vs.h,0.00% (0/147),0.00% (0/28),0.00% (0/28)
src/sleuthkit_mem_img.h,80.00% (32/40),75.00% (3/4),66.67% (10/15)
src/sleuthkit_mmls_fuzzer.cc,94.44% (17/18),100.00% (2/2),85.71% (6/7)
Totals,11.15% (455/4082),10.91% (30/275),13.35% (301/2255)
