Path,Line Coverage,Function Coverage,Region Coverage
src/zeek/auxil/binpac/lib/binpac_analyzer.h,100.00% (2/2),100.00% (2/2),100.00% (2/2)
src/zeek/auxil/binpac/lib/binpac_buffer.cc,21.10% (77/365),36.00% (9/25),15.17% (27/178)
src/zeek/auxil/binpac/lib/binpac_buffer.h,9.30% (4/43),22.22% (2/9),20.00% (4/20)
src/zeek/auxil/binpac/lib/binpac_bytestring.cc,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/zeek/auxil/binpac/lib/binpac_bytestring.h,63.16% (48/76),60.71% (17/28),65.62% (21/32)
src/zeek/auxil/binpac/lib/binpac_exception.h,35.14% (13/37),41.67% (5/12),38.10% (8/21)
src/zeek/auxil/binpac/lib/binpac_regex.h,63.33% (19/30),60.00% (3/5),77.78% (14/18)
src/zeek/auxil/broker/3rdparty/sqlite3.c,1.04% (663/63867),2.12% (46/2167),1.73% (806/46500)
src/zeek/auxil/broker/caf/libcaf_core/caf/abstract_actor.hpp,82.93% (34/41),88.89% (8/9),84.62% (11/13)
src/zeek/auxil/broker/caf/libcaf_core/caf/abstract_channel.hpp,40.00% (6/15),40.00% (2/5),40.00% (2/5)
src/zeek/auxil/broker/caf/libcaf_core/caf/abstract_group.hpp,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor.hpp,66.67% (32/48),68.42% (13/19),71.43% (15/21)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_addr.hpp,13.56% (8/59),17.39% (4/23),17.39% (4/23)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_cast.hpp,83.33% (35/42),88.89% (8/9),70.59% (12/17)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_config.hpp,100.00% (4/4),100.00% (1/1),100.00% (1/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_control_block.hpp,30.56% (22/72),41.18% (7/17),32.14% (9/28)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_ostream.hpp,0.00% (0/12),0.00% (0/4),0.00% (0/4)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_pool.hpp,0.00% (0/2),0.00% (0/1),0.00% (0/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_proxy.hpp,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_registry.hpp,25.00% (3/12),25.00% (1/4),25.00% (1/4)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_storage.hpp,100.00% (20/20),100.00% (4/4),100.00% (4/4)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_system.hpp,48.92% (91/186),44.74% (17/38),48.21% (27/56)
src/zeek/auxil/broker/caf/libcaf_core/caf/actor_system_config.hpp,100.00% (26/26),100.00% (8/8),100.00% (8/8)
src/zeek/auxil/broker/caf/libcaf_core/caf/after.hpp,0.00% (0/10),0.00% (0/3),0.00% (0/3)
src/zeek/auxil/broker/caf/libcaf_core/caf/attach_stream_sink.hpp,100.00% (10/10),100.00% (2/2),100.00% (2/2)
src/zeek/auxil/broker/caf/libcaf_core/caf/attach_stream_source.hpp,0.00% (0/20),0.00% (0/2),0.00% (0/2)
src/zeek/auxil/broker/caf/libcaf_core/caf/attachable.hpp,50.00% (3/6),66.67% (2/3),66.67% (2/3)
src/zeek/auxil/broker/caf/libcaf_core/caf/behavior.hpp,64.29% (27/42),68.75% (11/16),66.67% (12/18)
src/zeek/auxil/broker/caf/libcaf_core/caf/behavior_policy.hpp,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/binary_deserializer.hpp,0.00% (0/71),0.00% (0/22),0.00% (0/25)
src/zeek/auxil/broker/caf/libcaf_core/caf/binary_serializer.hpp,0.00% (0/56),0.00% (0/19),0.00% (0/19)
src/zeek/auxil/broker/caf/libcaf_core/caf/blocking_actor.hpp,46.02% (52/113),40.91% (9/22),37.50% (9/24)
src/zeek/auxil/broker/caf/libcaf_core/caf/broadcast_downstream_manager.hpp,0.00% (0/133),0.00% (0/13),0.00% (0/57)
src/zeek/auxil/broker/caf/libcaf_core/caf/buffered_downstream_manager.hpp,0.00% (0/40),0.00% (0/7),0.00% (0/18)
src/zeek/auxil/broker/caf/libcaf_core/caf/byte.hpp,0.00% (0/24),0.00% (0/8),0.00% (0/8)
src/zeek/auxil/broker/caf/libcaf_core/caf/byte_address.hpp,0.00% (0/34),0.00% (0/6),0.00% (0/14)
src/zeek/auxil/broker/caf/libcaf_core/caf/callback.hpp,0.00% (0/11),0.00% (0/4),0.00% (0/4)
src/zeek/auxil/broker/caf/libcaf_core/caf/catch_all.hpp,0.00% (0/4),0.00% (0/2),0.00% (0/2)
src/zeek/auxil/broker/caf/libcaf_core/caf/check_typed_input.hpp,0.00% (0/4),0.00% (0/1),0.00% (0/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_option.hpp,30.00% (6/20),100.00% (2/2),23.53% (4/17)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_option_adder.hpp,100.00% (6/6),100.00% (2/2),100.00% (2/2)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_option_set.hpp,0.00% (0/21),0.00% (0/7),0.00% (0/7)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_value.hpp,62.59% (169/270),62.16% (23/37),60.98% (75/123)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_value_reader.hpp,0.00% (0/23),0.00% (0/7),0.00% (0/7)
src/zeek/auxil/broker/caf/libcaf_core/caf/config_value_writer.hpp,60.00% (6/10),66.67% (2/3),66.67% (2/3)
src/zeek/auxil/broker/caf/libcaf_core/caf/const_typed_message_view.hpp,95.24% (20/21),100.00% (6/6),88.89% (8/9)
src/zeek/auxil/broker/caf/libcaf_core/caf/cow_tuple.hpp,0.00% (0/33),0.00% (0/15),0.00% (0/18)
src/zeek/auxil/broker/caf/libcaf_core/caf/decorator/sequencer.hpp,100.00% (2/2),100.00% (1/1),100.00% (1/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/deep_to_string.hpp,100.00% (7/7),100.00% (1/1),100.00% (1/1)
src/zeek/auxil/broker/caf/libcaf_core/caf/default_attachable.hpp,57.14% (8/14),50.00% (2/4),50.00% (2/4)
src/zeek/auxil/broker/caf/libcaf_core/caf/default_enum_inspect.hpp,0.00% (0/16),0.00% (0/5),0.00% (0/8)
src/zeek/auxil/broker/caf/libcaf_core/caf/default_sum_type_access.hpp,100.00% (23/23),100.00% (7/7),81.82% (9/11)
src/zeek/auxil/broker/caf/libcaf_core/caf/deserializer.hpp,0.00% (0/15),0.00% (0/3),0.00% (0/6)
